,First,,,,,,,,Second,,,,,,,,Third,,,,,,,,Fourth,,,,,,,,Fifth,,,,,,,
Chest,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Weights Per Rep,151,139,154,242,265,,,,148,76,154,117,,122,110,,,128,99,,92,,,,90,179,127,125,155,,74,113,91,111,125,,69,59,,
Percentage Change,0%,-9%,10%,36%,9%,,,,-79%,-95%,51%,-32%,,100%,-11%,,,14%,-29%,,-8%,,,,-2%,50%,-41%,-2%,19%,,-109%,35%,-24%,18%,11%,,-81%,-17%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamstrings,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Total Load,"9,825","10,350","12,120","11,820","4,500",,,,"1,760","4,840","7,680","8,040",0,"8,240",0,"3,060",0,"2,400","2,020",0,"2,230",,,,"1,410",0,"4,855","5,610","1,850",0,0,"5,425","4,400","2,590","4,270",0,0,"5,850",,
Total Sets,18,10,12,9,5,,,,3,6,6,9,0,9,0,3,0,3,3,0,3,,,,3,0,7,6,3,0,0,9,8,3,8,0,0,9,,
Total Reps,130,100,103,72,25,,,,32,56,78,81,0,102,,20,0,32,47,0,47,,,,47,0,94,84,37,0,0,113,100,37,95,0,0,150,,
Weights Per Rep,76,104,118,164,180,,,,55,86,98,99,,81,,153,,75,43,,47,,,,30,,52,67,50,,,48,44,70,45,,,39,,
Percentage Change,0%,27%,12%,28%,9%,,,,-227%,36%,12%,1%,,-22%,,47%,,-104%,-74%,,9%,,,,-57%,,42%,22%,-34%,,,-4%,-9%,37%,-56%,,,-15%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calves,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Total Load,"8,850","3,450","3,000",0,0,,,,"5,400","6,300","7,230","6,300",0,"6,300",0,0,0,0,"2,265",0,0,,,,940,"2,590","2,405","9,315","12,460",0,0,"9,420","12,420",0,"9,315",0,0,"8,100",,
Total Sets,4,3,4,0,0,,,,3,3,4,3,0,3,0,0,0,0,5,0,0,,,,3,3,3,3,6,0,0,4,4,0,3,0,0,5,,
Total Reps,60,35,60,0,0,,,,45,45,57,45,0,45,0,0,0,0,57,0,0,,,,47,37,37,45,82,0,0,60,60,0,45,0,0,75,,
Weights Per Rep,148,99,50,,,,,,120,140,127,140,,140,,,,,40,,,,,,20,70,65,207,152,,,157,207,,207,,,108,,
Percentage Change,0%,-49%,-98%,,,,,,58%,14%,-10%,9%,,0%,,,,,-250%,,,,,,-100%,71%,-8%,69%,-36%,,,3%,24%,,0%,,,-92%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates: ,June 28-July 1,July 5-9,July 18-21,July 25-26,Aug 8-9,,,,Oct 13-14,Oct 17-21,Oct 24-28,Nov 1-5,Nov 9-10,Nov 14-17,Nov 29- Dec 1,Dec 5-7,Feb 6-7,Feb 13-17,Feb 20-24,March 6-10,March 14-15,,,,May 22-25,May 29-30,June 5-9,June 12-15,June 19-21,June 28-30,July 3-8,July 10-14,July 17-21,July 24-25,July 31-Aug 4,Aug 7-11,Aug 14-18,Aug 21-26,,
